category_xmlid,category_name,uom_xmlid,uom_name,okei,purchase_uom_xmlid,purchase_uom_name,conversion_basis,note
pmk_bridge.categ_rolled,Металлопрокат,uom.product_uom_meter,м,006,uom.product_uom_ton,т,mass_per_meter,"Прокат меряем метрами: кусок — партия, длину куска видно, вес куска — нет"
pmk_bridge.categ_rolled_arm,Арматура,uom.product_uom_meter,м,006,uom.product_uom_ton,т,mass_per_meter,"руб/м = руб/т × кг_на_метр / 1000; считаем сами, Odoo даст 1:1"
pmk_bridge.categ_rolled_dvt,Двутавр,uom.product_uom_meter,м,006,uom.product_uom_ton,т,mass_per_meter,"руб/м = руб/т × кг_на_метр / 1000; считаем сами, Odoo даст 1:1"
pmk_bridge.categ_rolled_shv,Швеллер,uom.product_uom_meter,м,006,uom.product_uom_ton,т,mass_per_meter,"руб/м = руб/т × кг_на_метр / 1000; считаем сами, Odoo даст 1:1"
pmk_bridge.categ_rolled_ugr,Уголок равнополочный,uom.product_uom_meter,м,006,uom.product_uom_ton,т,mass_per_meter,"руб/м = руб/т × кг_на_метр / 1000; считаем сами, Odoo даст 1:1"
pmk_bridge.categ_rolled_ugn,Уголок неравнополочный,uom.product_uom_meter,м,006,uom.product_uom_ton,т,mass_per_meter,"руб/м = руб/т × кг_на_метр / 1000; считаем сами, Odoo даст 1:1"
pmk_bridge.categ_rolled_krg,Круг,uom.product_uom_meter,м,006,uom.product_uom_ton,т,mass_per_meter,"руб/м = руб/т × кг_на_метр / 1000; считаем сами, Odoo даст 1:1"
pmk_bridge.categ_rolled_kvd,Квадрат,uom.product_uom_meter,м,006,uom.product_uom_ton,т,mass_per_meter,"руб/м = руб/т × кг_на_метр / 1000; считаем сами, Odoo даст 1:1"
pmk_bridge.categ_rolled_shg,Шестигранник,uom.product_uom_meter,м,006,uom.product_uom_ton,т,mass_per_meter,"руб/м = руб/т × кг_на_метр / 1000; считаем сами, Odoo даст 1:1"
pmk_bridge.categ_rolled_trk,Труба круглая,uom.product_uom_meter,м,006,uom.product_uom_ton,т,mass_per_meter,"Бесшовная и электросварная — разные карточки, категория одна"
pmk_bridge.categ_rolled_tpk,Труба профильная квадратная,uom.product_uom_meter,м,006,uom.product_uom_ton,т,mass_per_meter,"руб/м = руб/т × кг_на_метр / 1000; считаем сами, Odoo даст 1:1"
pmk_bridge.categ_rolled_tpp,Труба профильная прямоугольная,uom.product_uom_meter,м,006,uom.product_uom_ton,т,mass_per_meter,"руб/м = руб/т × кг_на_метр / 1000; считаем сами, Odoo даст 1:1"
pmk_bridge.categ_rolled_vgp,Труба ВГП,uom.product_uom_meter,м,006,uom.product_uom_ton,т,mass_per_meter,"ВГП продают и метрами, и тоннами — храним метрами, как весь прокат"
pmk_bridge.categ_sheet,Лист,uom.product_uom_unit,шт,796,uom.product_uom_ton,т,mass_per_sqm_x_area,"Решение владельца: лист — штуками определённого размера, габарит = характеристика"
pmk_bridge.categ_sheet_gl,Лист горячекатаный гладкий,uom.product_uom_unit,шт,796,uom.product_uom_ton,т,mass_per_sqm_x_area,"руб/шт = руб/т × кг_на_м² × площадь_габарита / 1000"
pmk_bridge.categ_sheet_rf,Лист рифлёный,uom.product_uom_unit,шт,796,uom.product_uom_ton,т,mass_per_sqm_x_area,"Масса рифлёного в справочнике уже с рифлением, отдельной надбавки не надо"
pmk_bridge.categ_sheet_pv,Лист просечно-вытяжной,uom.product_uom_unit,шт,796,uom.product_uom_ton,т,mass_per_sqm_x_area,"Масса в справочнике — по просечённому листу, площадь считаем по габариту"
pmk_bridge.categ_sheet_zn,Лист оцинкованный тонколистовой,uom.product_uom_unit,шт,796,uom.product_uom_ton,т,mass_per_sqm_x_area,"Тонколистовой чаще приходит рулоном; в штуках — уже после роспуска на карты"
pmk_bridge.categ_hw,Метизы,uom.product_uom_unit,шт,796,uom.product_uom_kgm,кг,weight_kg,"Прайс метизов приходит в кг, считаем поштучно: руб/шт = руб/кг × вес_штуки"
pmk_bridge.categ_hw_blt,Болты,uom.product_uom_unit,шт,796,uom.product_uom_kgm,кг,weight_kg,"Вес штуки — в pmk.metal.fastener.weight_kg"
pmk_bridge.categ_hw_nut,Гайки,uom.product_uom_unit,шт,796,uom.product_uom_kgm,кг,weight_kg,"Вес штуки — в pmk.metal.fastener.weight_kg"
pmk_bridge.categ_hw_wsh,Шайбы,uom.product_uom_unit,шт,796,uom.product_uom_kgm,кг,weight_kg,"Вес штуки — в pmk.metal.fastener.weight_kg"
pmk_bridge.categ_hw_anc,Анкеры,uom.product_uom_unit,шт,796,uom.product_uom_unit,шт,none,"Анкеры продают поштучно и коробками, не на вес — пересчёт не нужен"
pmk_bridge.categ_hw_scr,Саморезы,uom.product_uom_unit,шт,796,uom.product_uom_unit,шт,none,"Саморезы продают упаковками по штукам — пересчёт не нужен"
pmk_bridge.categ_paint,Лакокрасочные покрытия,uom.product_uom_kgm,кг,166,uom.product_uom_kgm,кг,none,"Решение владельца: ЛКП — товары в кг; расход в справочнике тоже кг/м²"
