id,name,fastener_type,gost,size_label,weight_kg
fast_bolt_m8_20,Болт М8×20,bolt,ГОСТ 7798-70,М8×20,0.0118
fast_bolt_m8_30,Болт М8×30,bolt,ГОСТ 7798-70,М8×30,0.0142
fast_bolt_m10_30,Болт М10×30,bolt,ГОСТ 7798-70,М10×30,0.0243
fast_bolt_m10_40,Болт М10×40,bolt,ГОСТ 7798-70,М10×40,0.0281
fast_bolt_m12_40,Болт М12×40,bolt,ГОСТ 7798-70,М12×40,0.0455
fast_bolt_m12_50,Болт М12×50,bolt,ГОСТ 7798-70,М12×50,0.0520
fast_bolt_m16_50,Болт М16×50,bolt,ГОСТ 7798-70,М16×50,0.0985
fast_bolt_m16_60,Болт М16×60,bolt,ГОСТ 7798-70,М16×60,0.1120
fast_bolt_m20_60,Болт М20×60,bolt,ГОСТ 7798-70,М20×60,0.1780
fast_bolt_m20_80,Болт М20×80,bolt,ГОСТ 7798-70,М20×80,0.2160
fast_nut_m8,Гайка М8,nut,ГОСТ 5915-70,М8,0.0050
fast_nut_m10,Гайка М10,nut,ГОСТ 5915-70,М10,0.0106
fast_nut_m12,Гайка М12,nut,ГОСТ 5915-70,М12,0.0167
fast_nut_m16,Гайка М16,nut,ГОСТ 5915-70,М16,0.0333
fast_nut_m20,Гайка М20,nut,ГОСТ 5915-70,М20,0.0651
fast_wash_m8,Шайба М8,washer,ГОСТ 11371-78,М8,0.0021
fast_wash_m10,Шайба М10,washer,ГОСТ 11371-78,М10,0.0035
fast_wash_m12,Шайба М12,washer,ГОСТ 11371-78,М12,0.0054
fast_wash_m16,Шайба М16,washer,ГОСТ 11371-78,М16,0.0104
fast_wash_m20,Шайба М20,washer,ГОСТ 11371-78,М20,0.0175
fast_anchor_m10_100,Анкер клиновой М10×100,anchor,,М10×100,0.0550
fast_anchor_m12_120,Анкер клиновой М12×120,anchor,,М12×120,0.0950
fast_anchor_m16_150,Анкер клиновой М16×150,anchor,,М16×150,0.1900
fast_screw_48_35,Саморез кровельный 4.8×35,screw,,4.8×35,0.0045
fast_screw_55_80,Саморез кровельный 5.5×80,screw,,5.5×80,0.0125
