id,profile_type,gost,size_label,mass_per_meter
profile_арматура_d5_5,Арматура,ГОСТ 34028-2016,d5.5,0.187
profile_арматура_d6,Арматура,ГОСТ 34028-2016,d6,0.222
profile_арматура_d8,Арматура,ГОСТ 34028-2016,d8,0.395
profile_арматура_d10,Арматура,ГОСТ 34028-2016,d10,0.617
profile_арматура_d12,Арматура,ГОСТ 34028-2016,d12,0.888
profile_арматура_d14,Арматура,ГОСТ 34028-2016,d14,1.208
profile_арматура_d16,Арматура,ГОСТ 34028-2016,d16,1.578
profile_арматура_d18,Арматура,ГОСТ 34028-2016,d18,1.998
profile_арматура_d20,Арматура,ГОСТ 34028-2016,d20,2.466
profile_арматура_d22,Арматура,ГОСТ 34028-2016,d22,2.984
profile_арматура_d25,Арматура,ГОСТ 34028-2016,d25,3.853
profile_арматура_d28,Арматура,ГОСТ 34028-2016,d28,4.834
profile_арматура_d32,Арматура,ГОСТ 34028-2016,d32,6.313
profile_арматура_d36,Арматура,ГОСТ 34028-2016,d36,7.99
profile_арматура_d40,Арматура,ГОСТ 34028-2016,d40,9.865
profile_двутавр_10б1,Двутавр,ГОСТ Р 57837-2017,10Б1,8.1
profile_двутавр_12б1,Двутавр,ГОСТ Р 57837-2017,12Б1,8.7
profile_двутавр_12б2,Двутавр,ГОСТ Р 57837-2017,12Б2,10.4
profile_двутавр_14б1,Двутавр,ГОСТ Р 57837-2017,14Б1,10.5
profile_двутавр_14б2,Двутавр,ГОСТ Р 57837-2017,14Б2,12.9
profile_двутавр_16б1,Двутавр,ГОСТ Р 57837-2017,16Б1,12.7
profile_двутавр_16б2,Двутавр,ГОСТ Р 57837-2017,16Б2,15.8
profile_двутавр_18б1,Двутавр,ГОСТ Р 57837-2017,18Б1,15.4
profile_двутавр_18б2,Двутавр,ГОСТ Р 57837-2017,18Б2,18.8
profile_двутавр_20б0,Двутавр,ГОСТ Р 57837-2017,20Б0,18.2
profile_двутавр_20б1,Двутавр,ГОСТ Р 57837-2017,20Б1,21.3
profile_двутавр_20б2,Двутавр,ГОСТ Р 57837-2017,20Б2,25.3
profile_двутавр_20б3,Двутавр,ГОСТ Р 57837-2017,20Б3,31.6
profile_двутавр_25б1,Двутавр,ГОСТ Р 57837-2017,25Б1,25.7
profile_двутавр_25б2,Двутавр,ГОСТ Р 57837-2017,25Б2,29.6
profile_двутавр_25б3,Двутавр,ГОСТ Р 57837-2017,25Б3,37.4
profile_двутавр_25б4,Двутавр,ГОСТ Р 57837-2017,25Б4,45.3
profile_двутавр_30б1,Двутавр,ГОСТ Р 57837-2017,30Б1,32.0
profile_двутавр_30б2,Двутавр,ГОСТ Р 57837-2017,30Б2,36.7
profile_двутавр_30б3,Двутавр,ГОСТ Р 57837-2017,30Б3,46.1
profile_двутавр_30б4,Двутавр,ГОСТ Р 57837-2017,30Б4,55.6
profile_двутавр_35б1,Двутавр,ГОСТ Р 57837-2017,35Б1,41.4
profile_двутавр_35б2,Двутавр,ГОСТ Р 57837-2017,35Б2,49.6
profile_двутавр_35б3,Двутавр,ГОСТ Р 57837-2017,35Б3,60.5
profile_двутавр_35б4,Двутавр,ГОСТ Р 57837-2017,35Б4,72.9
profile_двутавр_40б1,Двутавр,ГОСТ Р 57837-2017,40Б1,56.6
profile_двутавр_40б2,Двутавр,ГОСТ Р 57837-2017,40Б2,66.0
profile_двутавр_40б3,Двутавр,ГОСТ Р 57837-2017,40Б3,80.1
profile_двутавр_40б4,Двутавр,ГОСТ Р 57837-2017,40Б4,94.3
profile_двутавр_45б1,Двутавр,ГОСТ Р 57837-2017,45Б1,66.2
profile_двутавр_45б2,Двутавр,ГОСТ Р 57837-2017,45Б2,76.0
profile_двутавр_45б3,Двутавр,ГОСТ Р 57837-2017,45Б3,90.6
profile_двутавр_45б4,Двутавр,ГОСТ Р 57837-2017,45Б4,105.4
profile_двутавр_50б1,Двутавр,ГОСТ Р 57837-2017,50Б1,72.5
profile_двутавр_50б2,Двутавр,ГОСТ Р 57837-2017,50Б2,79.5
profile_двутавр_50б3,Двутавр,ГОСТ Р 57837-2017,50Б3,89.7
profile_двутавр_50б4,Двутавр,ГОСТ Р 57837-2017,50Б4,109.9
profile_двутавр_55б1,Двутавр,ГОСТ Р 57837-2017,55Б1,89.0
profile_двутавр_55б2,Двутавр,ГОСТ Р 57837-2017,55Б2,97.9
profile_двутавр_55б3,Двутавр,ГОСТ Р 57837-2017,55Б3,116.7
profile_двутавр_60б1,Двутавр,ГОСТ Р 57837-2017,60Б1,94.6
profile_двутавр_60б2,Двутавр,ГОСТ Р 57837-2017,60Б2,105.5
profile_двутавр_60б3,Двутавр,ГОСТ Р 57837-2017,60Б3,118.8
profile_двутавр_70б1,Двутавр,ГОСТ Р 57837-2017,70Б1,129.3
profile_двутавр_70б2,Двутавр,ГОСТ Р 57837-2017,70Б2,146.8
profile_двутавр_70б3,Двутавр,ГОСТ Р 57837-2017,70Б3,165.1
profile_двутавр_20ш1,Двутавр,ГОСТ Р 57837-2017,20Ш1,30.6
profile_двутавр_25ш1,Двутавр,ГОСТ Р 57837-2017,25Ш1,44.2
profile_двутавр_25ш2,Двутавр,ГОСТ Р 57837-2017,25Ш2,53.8
