id,name,gost,sequence
ptype_арматура,Арматура,ГОСТ 34028-2016,10
ptype_двутавр,Двутавр,ГОСТ Р 57837-2017,20
ptype_швеллер,Швеллер,ГОСТ 8240-97,30
ptype_уголок_равнополочный,Уголок равнополочный,ГОСТ 8509-93,40
ptype_уголок_неравнополочный,Уголок неравнополочный,ГОСТ 8510-86,50
ptype_круг,Круг,ГОСТ 2590-2006,60
ptype_квадрат,Квадрат,ГОСТ 2591-2006,70
ptype_шестигранник,Шестигранник,ГОСТ 2879-2006,80
ptype_труба_круглая,Труба круглая,ГОСТ 10704-91,90
ptype_труба_профильная_квадратная,Труба профильная квадратная,ГОСТ 8639-82,100
ptype_труба_профильная_прямоугольная,Труба профильная прямоугольная,ГОСТ 8645-68,110
ptype_труба_вгп,Труба ВГП,ГОСТ 3262-75,120
