id,sheet_type,thickness_mm,size_label,gost,mass_per_sqm
sheet_гладкий_1,Гладкий,1,,ГОСТ 19903-2015,7.85
sheet_гладкий_1_2,Гладкий,1.2,,ГОСТ 19903-2015,9.42
sheet_гладкий_1_4,Гладкий,1.4,,ГОСТ 19903-2015,10.99
sheet_гладкий_1_5,Гладкий,1.5,,ГОСТ 19903-2015,11.78
sheet_гладкий_1_8,Гладкий,1.8,,ГОСТ 19903-2015,14.13
sheet_гладкий_2,Гладкий,2,,ГОСТ 19903-2015,15.7
sheet_гладкий_2_5,Гладкий,2.5,,ГОСТ 19903-2015,19.63
sheet_гладкий_3,Гладкий,3,,ГОСТ 19903-2015,23.55
sheet_гладкий_3_5,Гладкий,3.5,,ГОСТ 19903-2015,27.48
sheet_гладкий_4,Гладкий,4,,ГОСТ 19903-2015,31.4
sheet_гладкий_5,Гладкий,5,,ГОСТ 19903-2015,39.25
sheet_гладкий_6,Гладкий,6,,ГОСТ 19903-2015,47.1
sheet_гладкий_7,Гладкий,7,,ГОСТ 19903-2015,54.95
sheet_гладкий_8,Гладкий,8,,ГОСТ 19903-2015,62.8
sheet_гладкий_9,Гладкий,9,,ГОСТ 19903-2015,70.65
sheet_гладкий_10,Гладкий,10,,ГОСТ 19903-2015,78.5
sheet_гладкий_12,Гладкий,12,,ГОСТ 19903-2015,94.2
sheet_гладкий_14,Гладкий,14,,ГОСТ 19903-2015,109.9
sheet_гладкий_16,Гладкий,16,,ГОСТ 19903-2015,125.6
sheet_гладкий_18,Гладкий,18,,ГОСТ 19903-2015,141.3
sheet_гладкий_20,Гладкий,20,,ГОСТ 19903-2015,157.0
sheet_гладкий_22,Гладкий,22,,ГОСТ 19903-2015,172.7
sheet_гладкий_25,Гладкий,25,,ГОСТ 19903-2015,196.25
sheet_гладкий_28,Гладкий,28,,ГОСТ 19903-2015,219.8
sheet_гладкий_30,Гладкий,30,,ГОСТ 19903-2015,235.5
sheet_гладкий_32,Гладкий,32,,ГОСТ 19903-2015,251.2
sheet_гладкий_36,Гладкий,36,,ГОСТ 19903-2015,282.6
sheet_гладкий_40,Гладкий,40,,ГОСТ 19903-2015,314.0
sheet_гладкий_45,Гладкий,45,,ГОСТ 19903-2015,353.25
sheet_гладкий_50,Гладкий,50,,ГОСТ 19903-2015,392.5
sheet_гладкий_60,Гладкий,60,,ГОСТ 19903-2015,471.0
sheet_рифл_ный_2_5_ромб,Рифлёный,2.5,ромб,ГОСТ 8568-77,21.0
sheet_рифл_ный_3_ромб,Рифлёный,3,ромб,ГОСТ 8568-77,25.1
sheet_рифл_ный_4_ромб,Рифлёный,4,ромб,ГОСТ 8568-77,33.5
sheet_рифл_ный_5_ромб,Рифлёный,5,ромб,ГОСТ 8568-77,41.8
sheet_рифл_ный_6_ромб,Рифлёный,6,ромб,ГОСТ 8568-77,50.0
sheet_рифл_ный_8_ромб,Рифлёный,8,ромб,ГОСТ 8568-77,66.0
sheet_рифл_ный_10_ромб,Рифлёный,10,ромб,ГОСТ 8568-77,83.0
sheet_рифл_ный_12_ромб,Рифлёный,12,ромб,ГОСТ 8568-77,99.3
sheet_просечно_вытяжной_4_406,Просечно-вытяжной,4,406,ГОСТ 8706-78,15.7
sheet_просечно_вытяжной_5_506,Просечно-вытяжной,5,506,ГОСТ 8706-78,16.4
sheet_просечно_вытяжной_5_508,Просечно-вытяжной,5,508,ГОСТ 8706-78,20.9
sheet_просечно_вытяжной_5_510,Просечно-вытяжной,5,510,ГОСТ 8706-78,24.7
sheet_просечно_вытяжной_6_606,Просечно-вытяжной,6,606,ГОСТ 8706-78,17.3
sheet_просечно_вытяжной_6_608,Просечно-вытяжной,6,608,ГОСТ 8706-78,21.9
sheet_просечно_вытяжной_6_610,Просечно-вытяжной,6,610,ГОСТ 8706-78,26.0
sheet_оцинк_0_35,Оцинкованный тонколистовой,0.35,,ГОСТ 14918-2020,2.7475
sheet_оцинк_0_4,Оцинкованный тонколистовой,0.4,,ГОСТ 14918-2020,3.14
sheet_оцинк_0_45,Оцинкованный тонколистовой,0.45,,ГОСТ 14918-2020,3.5325
sheet_оцинк_0_5,Оцинкованный тонколистовой,0.5,,ГОСТ 14918-2020,3.925
sheet_оцинк_0_55,Оцинкованный тонколистовой,0.55,,ГОСТ 14918-2020,4.3175
sheet_оцинк_0_6,Оцинкованный тонколистовой,0.6,,ГОСТ 14918-2020,4.71
sheet_оцинк_0_7,Оцинкованный тонколистовой,0.7,,ГОСТ 14918-2020,5.495
sheet_оцинк_0_8,Оцинкованный тонколистовой,0.8,,ГОСТ 14918-2020,6.28
sheet_оцинк_0_9,Оцинкованный тонколистовой,0.9,,ГОСТ 14918-2020,7.065
sheet_оцинк_1_0,Оцинкованный тонколистовой,1.0,,ГОСТ 14918-2020,7.85
