id,du,outer_mm,wall_mm,mass_per_meter
vgp_15_2_5,15,21.3,2.5,1.16
vgp_15_2_8,15,21.3,2.8,1.28
vgp_15_3_2,15,21.3,3.2,1.43
vgp_20_2_5,20,26.8,2.5,1.5
vgp_20_2_8,20,26.8,2.8,1.66
vgp_20_3_2,20,26.8,3.2,1.86
vgp_25_2_8,25,33.5,2.8,2.12
vgp_25_3_2,25,33.5,3.2,2.39
vgp_25_4_0,25,33.5,4.0,2.91
vgp_32_2_8,32,42.3,2.8,2.73
vgp_32_3_2,32,42.3,3.2,3.09
vgp_32_4_0,32,42.3,4.0,3.78
vgp_40_3_0,40,48.0,3.0,3.33
vgp_40_3_5,40,48.0,3.5,3.84
vgp_40_4_0,40,48.0,4.0,4.34
vgp_50_3_0,50,60.0,3.0,4.22
vgp_50_3_5,50,60.0,3.5,4.88
vgp_50_4_5,50,60.0,4.5,6.16
vgp_65_3_2,65,75.5,3.2,5.71
vgp_65_4_0,65,75.5,4.0,7.05
vgp_65_4_5,65,75.5,4.5,7.88
vgp_80_3_5,80,88.5,3.5,7.34
vgp_80_4_0,80,88.5,4.0,8.34
vgp_80_4_5,80,88.5,4.5,9.32
vgp_90_3_5,90,101.3,3.5,8.44
vgp_90_4_0,90,101.3,4.0,9.6
vgp_90_4_5,90,101.3,4.5,10.74
vgp_100_4_0,100,114.0,4.0,10.85
vgp_100_4_5,100,114.0,4.5,12.15
vgp_100_5_0,100,114.0,5.0,13.44
